ticker,bar,price,ret_1M,ret_3M,ret_6M,ret_12M,system
BLNK,203,90.5,-14.364640883977897,-32.04419889502762,-46.96132596685083,-76.24309392265194,💎 ASH STRONG solo
BLNK,528,2.549999952316284,-2.352938976529795,-34.117647883801325,364.70590600230474,1992.156842028989,💎 ASH STRONG solo
BLNK,759,3.4800000190734863,-42.52873594717741,-42.81609199339718,-55.172415683064436,-72.2126436112248,💎 ASH STRONG solo
BMBL,36,55.47999954223633,-34.42681800957924,-45.92645953942137,-57.73251449815313,-60.436191521182046,💎 ASH STRONG solo
BMBL,228,6.449999809265137,27.441868373719092,-2.635652782696063,-45.426355271046816,-52.86821625194153,💎 ASH STRONG solo
BMBL,270,4.260000228881836,-26.291081309909657,,,,💎 ASH STRONG solo
BYND,170,38.2599983215332,-38.78724227984903,-63.643490701400815,-49.242025801751986,-58.860427439539386,💎 ASH STRONG solo
BYND,282,7.159999847412109,-11.731839296817014,-43.01675962771537,-56.14524899691041,-60.195531209925036,💎 ASH STRONG solo
CGC,106,21.200000762939453,-7.122642332737672,1.36791980067128,140.84905441395549,244.90566092056918,💎 ASH STRONG solo
CGC,226,282.5,82.40707532494469,38.54867040583518,60.95575653346239,16.460176991150433,💎 ASH STRONG solo
CGC,301,248.89999389648438,-11.088787272612466,-39.33306400047572,-27.88268204030061,34.15026198648719,💎 ASH STRONG solo
CGC,305,221.3000030517578,-50.56484409523829,-28.3325784381385,-22.322642780858757,82.15092659047016,💎 ASH STRONG solo
CGC,504,8.0,-40.625,-61.87500059604645,-12.12499737739563,-55.000001192092896,💎 ASH STRONG solo
CGC,519,7.690000057220459,3.1209332813049606,-10.923278886053843,-39.66190075474827,-85.56566962229226,💎 ASH STRONG solo
CGC,609,1.7400000095367432,-29.31034411885084,-41.37931176229832,-42.52873594717741,,💎 ASH STRONG solo
CHGG,37,6.440000057220459,7.298133323223999,3.2608701285883113,2.95031142130866,29.037272450015216,💎 ASH STRONG solo
CHGG,58,7.010000228881836,1.7118385398144698,13.980021544059884,11.840226770412654,0.28530642330242273,💎 ASH STRONG solo
CHGG,67,8.119999885559082,-1.6009866536096262,-6.280785212222484,-5.665025180173389,-47.78325331434128,💎 ASH STRONG solo
CHGG,170,8.039999961853027,1.9900478628265272,43.03482654929671,81.9651764161085,143.4079575581715,💎 ASH STRONG solo
CHGG,359,72.56999969482422,1.198846286675792,24.4729257419263,21.606725053209686,-5.443016349528673,💎 ASH STRONG solo
CHGG,369,81.94999694824219,17.913362845452397,8.846858169596938,-6.345329032197999,-66.35753420193925,💎 ASH STRONG solo
CHGG,407,86.62000274658203,-20.78041956736173,-67.02840156967169,-64.51166151419783,-76.17178626738973,💎 ASH STRONG solo
CHGG,463,21.06999969482422,8.258186029046733,19.933558726966517,-22.63882547153243,-57.664925460416036,💎 ASH STRONG solo
CHGG,522,10.460000038146973,2.007648540928453,-13.097513198496912,-58.12619408731044,-83.5564051401769,💎 ASH STRONG solo
CHPT,39,199.0,1.5075376884422065,43.21608040201006,261.7085365793813,233.06532049897925,💎 ASH STRONG solo
CHPT,144,309.20001220703125,-10.413975076259396,-4.592500532478416,-44.69599183408071,-52.393275828953925,💎 ASH STRONG solo
CHPT,301,14.739999771118164,-17.096333400405406,-26.458613833712587,-51.96743532127633,-62.211667176716375,💎 ASH STRONG solo
CMPS,57,38.88999938964844,-20.107996445239618,-59.44972819423273,-67.57521251071627,-75.36641791191178,💎 ASH STRONG solo
CMPS,283,8.050000190734863,-32.79503454374149,46.70807627072362,,,💎 ASH STRONG solo
COTY,73,15.815043449401855,10.021753845365279,19.172093570178394,30.010857324623764,56.74877248311929,💎 ASH STRONG solo
COTY,204,17.431982040405273,-3.6470421020946775,0.15772406418423923,-15.501310318786432,-24.917628429677773,💎 ASH STRONG solo
COTY,234,16.174924850463867,14.735672089693796,9.776188843839485,-20.66518959958935,-56.10270380159048,💎 ASH STRONG solo
COTY,332,11.513528823852539,-0.9416780351881648,-9.447121258431135,-45.54232610303649,-70.55637627031321,💎 ASH STRONG solo
COTY,347,11.89969253540039,-27.72922194514196,-56.30139355453379,-66.38568611667569,-35.79666160484935,💎 ASH STRONG solo
COTY,480,7.940000057220459,-7.052895953952665,-4.534006686650183,40.42820577048627,38.79093675499825,💎 ASH STRONG solo
CRBU,102,7.260000228881836,-7.438022336995919,-37.46556723521943,-33.60881515559208,-77.96143287328401,💎 ASH STRONG solo
CRBU,171,2.2100000381469727,-0.9049764968910634,-35.29412113734938,-60.180996378195296,9.502264005527007,💎 ASH STRONG solo
CRI,42,19.879167556762695,-4.231651243009171,-19.524891030470982,-19.153719643894227,-46.25095791193763,💎 ASH STRONG solo
CRI,120,13.068297386169434,-13.8904524033717,-4.1219714979884525,26.82099813451011,60.70017134075398,💎 ASH STRONG solo
